p1,p2,p3,p4,p5
fault lines,pressure,rocks,energy,seismic waves
SENTENCE,PHRASE,REFERENCE,,
Fault lines appear underground.,fault lines,p1,,
Fault lines appear underground.,underground,,,
The fault lines grow over time.,the fault lines,p1,,
The fault lines grow over time.,over time,,,
The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.,the rocks on each side of the fault lines,"p1,p3",,
The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.,against the rocks,p3,,
The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.,the rocks,p3,,
The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.,on the other side of the fault line,p1,,
The rocks put pressure on each other.,the rocks,p3,,
The rocks put pressure on each other.,pressure,p2,,
The rocks put pressure on each other.,on each other,p3,,
The rocks put pressure on each other.,each other,p3,,
The rocks break from the pressure.,the rocks,p3,,
The rocks break from the pressure.,from the pressure,p2,,
The rocks break from the pressure.,the pressure,p2,,
The breaking of the rocks releases a lot of energy.,the breaking of the rocks,p3,,
The breaking of the rocks releases a lot of energy.,a lot of energy,p4,,
The energy causes seismic waves.,the energy,p4,,
The energy causes seismic waves.,seismic waves,p5,,
The seismic waves make the earth shake.,the seismic waves,p5,,
The seismic waves make the earth shake.,the earth shake,,,
The seismic waves make the earth shake.,shake,,,
