p1,p2,p3,p4,p5
air,oxygen,"oxygen-rich blood, oxygen rich blood",carbon dioxide rich blood,carbon dioxide
SENTENCE,PHRASE,REFERENCE,,
Air enters the nose or mouth and travels through the windpipe into the lungs.,air,p1,,
Air enters the nose or mouth and travels through the windpipe into the lungs.,the nose or mouth,,,
Air enters the nose or mouth and travels through the windpipe into the lungs.,air,p1,,
Air enters the nose or mouth and travels through the windpipe into the lungs.,through the windpipe into the lungs,,,
Air enters the nose or mouth and travels through the windpipe into the lungs.,the windpipe,,,
The lungs have a series of smaller and finer tubes and sacs.,the lungs,,,
The lungs have a series of smaller and finer tubes and sacs.,a series of smaller and finer tubes and sacs,,,
Air reaches the smallest and finest air sacs called alveoli.,air,p1,,
Air reaches the smallest and finest air sacs called alveoli.,the smallest and finest air sacs called alveoli,,,
Air reaches the smallest and finest air sacs called alveoli.,the smallest and finest air sacs,,,
Air reaches the smallest and finest air sacs called alveoli.,alveoli,,,
Oxygen travels from the alveoli into the blood.,oxygen,p2,,
Oxygen travels from the alveoli into the blood.,from the alveoli into the blood,,,
Oxygen travels from the alveoli into the blood.,the alveoli,,,
Oxygen travels from the alveoli into the blood.,into the blood,,,
Oxygen-rich blood is carried to the heart.,oxygen-rich blood,p3,,
Oxygen-rich blood is carried to the heart.,to the heart,,,
Oxygen-rich blood is carried to the heart.,the heart,,,
Oxygen-rich blood is pumped throughout the body by the heart.,oxygen-rich blood,p3,,
Oxygen-rich blood is pumped throughout the body by the heart.,throughout the body,,,
Oxygen-rich blood is pumped throughout the body by the heart.,by the heart,,,
Oxygen-rich blood is pumped throughout the body by the heart.,the heart,,,
Cells take in the oxygen rich blood and release carbon dioxide rich blood.,cells,,,
Cells take in the oxygen rich blood and release carbon dioxide rich blood.,the oxygen rich blood,p3,,
The carbon dioxide rich blood travels to the lungs.,the carbon dioxide rich blood,p4,,
The carbon dioxide rich blood travels to the lungs.,to the lungs,,,
The carbon dioxide rich blood travels to the lungs.,the lungs,,,
Carbon dioxide travels through the throat and is exhaled.,carbon dioxide,p5,,
Carbon dioxide travels through the throat and is exhaled.,through the throat,,,
Carbon dioxide travels through the throat and is exhaled.,the throat,,,
Carbon dioxide travels through the throat and is exhaled.,carbon dioxide,p5,,
