p1,p2,p3,p4
water droplets,"bigger drops, drops","ice particles, ice",rain drops
SENTENCE,PHRASE,REFERENCE,
Water droplets in clouds collide.,water droplets in clouds,p1,
Water droplets in clouds collide.,in clouds,,
Become bigger drops.,bigger drops,p2,
Ice particles also grow in clouds.,ice particles,p3,
Ice particles also grow in clouds.,in clouds,,
Drops and ice particles get heavier.,drops and ice particles,"p2,p3",
Drops and ice particles get heavier.,heavier,,
Drops fall to the ground.,drops,p2,
Drops fall to the ground.,to the ground,,
Drops fall to the ground.,the ground,,
Ice particles fall from the clouds.,ice particles,p3,
Ice particles fall from the clouds.,from the clouds,,
Ice particles fall from the clouds.,the clouds,,
Ice particles fall through warmer air and melt.,ice particles,p3,
Ice particles fall through warmer air and melt.,through warmer air,,
Ice particles fall through warmer air and melt.,through warmer air and melt,,
Ice particles fall through warmer air and melt.,warmer air,,
Ice particles fall through warmer air and melt.,warmer air and melt,,
Ice particles fall through warmer air and melt.,ice particles,p3,
Ice reaches the ground as rain drops.,ice,p3,
Ice reaches the ground as rain drops.,the ground,,
Ice reaches the ground as rain drops.,as rain drops,p4,
