p1,p2,p3,p4,p5
seed,plant,flowers,new seeds,new plant
SENTENCE,PHRASE,REFERENCE,,
A seed germinates.,a seed,p1,,
It grows into a plant.,it,p1,,
It grows into a plant.,into a plant,p2,,
It grows into a plant.,a plant,p2,,
The mature plant produces flowers.,the mature plant,p2,,
The mature plant produces flowers.,flowers,p3,,
The flowers become fertilized.,the flowers,p3,,
The flowers become fertilized.,fertilized,,,
The flowers become fertilized.,the flowers,p3,,
Produce seeds in a fruit or seedpod.,seeds,p4,,
Produce seeds in a fruit or seedpod.,in a fruit or seedpod,,,
The plant dies.,the plant,p2,,
The new seeds germinate to form a new plant.,the new seeds,p4,,
The new seeds germinate to form a new plant.,to form a new plant,p5,,
The new seeds germinate to form a new plant.,form a new plant,p5,,
The new seeds germinate to form a new plant.,the new seeds,p4,,
The new seeds germinate to form a new plant.,a new plant,p5,,
