p1,p2,p3,p4,p5
coal,hot air,water,steam,electricity
SENTENCE,PHRASE,REFERENCE,,
Coal is mined out of the ground.,coal,p1,,
Coal is mined out of the ground.,out of the ground,,,
Coal is mined out of the ground.,the ground,,,
Electricity is produced.,electricity,p5,,
Coal is pulverized into fine powder.,coal,p1,,
Coal is pulverized into fine powder.,into fine powder,,,
Coal is pulverized into fine powder.,fine powder,,,
The coal is mixed with hot air.,the coal,p1,,
The coal is mixed with hot air.,hot air,p2,,
The coal and hot air are blown into a boiler.,the coal and hot air,"p1,p2",,
The coal and hot air are blown into a boiler.,into a boiler,,,
The coal and hot air are blown into a boiler.,a boiler,,,
The coal and hot air burn over a fire.,the coal and hot air,"p1,p2",,
The coal and hot air burn over a fire.,over a fire,,,
Highly purified water is pumped through pipes in the boiler.,water,p3,,
Highly purified water is pumped through pipes in the boiler.,highly purified water,p3,,
Highly purified water is pumped through pipes in the boiler.,through pipes in the boiler,,,
Highly purified water is pumped through pipes in the boiler.,pipes,,,
The water turns into steam.,the water,p3,,
The water turns into steam.,steam,p4,,
The steam presses against turbines.,the steam,p4,,
The steam presses against turbines.,turbines,,,
The turbines spin.,the turbines,,,
