p1,p2,p3,p4,p5
grapes,stems,yeast,sugar,alcohol
SENTENCE,PHRASE,REFERENCE,,
Grapes are grown.,grapes,p1,,
A selection of grapes are gathered.,a selection of grapes,p1,,
The grapes are washed.,the grapes,p1,,
The stems are removed from the grapes.,the grapes,p1,,
The stems are removed from the grapes.,the stems,p2,,
The stems are removed from the grapes.,from the grapes,p1,,
The stems are removed from the grapes.,the grapes,p1,,
The grapes are crushed and added to a fermation container.,the grapes,p1,,
The grapes are crushed and added to a fermation container.,crushed,,,
The grapes are crushed and added to a fermation container.,the grapes,p1,,
The grapes are crushed and added to a fermation container.,to a fermation container,,,
The grapes are crushed and added to a fermation container.,a fermation container,,,
Yeast is added to the container.,yeast,p3,,
Yeast is added to the container.,to the container,,,
Yeast is added to the container.,the container,,,
"The yeast eats the sugar in the yeast, releasing alcohol.",the yeast,p3,,
"The yeast eats the sugar in the yeast, releasing alcohol.",the sugar,p4,,
"The yeast eats the sugar in the yeast, releasing alcohol.",in the yeast,p3,,
"The yeast eats the sugar in the yeast, releasing alcohol.",the yeast,p3,,
"The yeast eats the sugar in the yeast, releasing alcohol.",alcohol,p5,,
