p1,p2,p3,p4,p5
"water, acidic water",aluminum,fish and their eggs,frogs and plants,insects and other wildlife
SENTENCE,PHRASE,REFERENCE,,
Acid rain makes waters acidic.,acid rain,,,
Acid rain makes waters acidic.,waters acidic,p1,,
Acid rain makes waters acidic.,acidic,,,
Causes them to absorb aluminum from soil.,them to absorb aluminum from soil,p2,,
Causes them to absorb aluminum from soil.,to absorb aluminum from soil,p2,,
Causes them to absorb aluminum from soil.,them,,,
Causes them to absorb aluminum from soil.,aluminum,p2,,
Causes them to absorb aluminum from soil.,from soil,,,
"The water runs off from the soil into lakes, streams, etc.",the water,p1,,
"The water runs off from the soil into lakes, streams, etc.","off from the soil into lakes , streams , etc",,,
"The water runs off from the soil into lakes, streams, etc.",the soil,,,
Fish and their eggs die.,fish and their eggs,p3,,
Frogs and plants die.,frogs and plants,p4,,
Insects and other wildlife die.,insects and other wildlife,p5,,
"The ecosystem is out of balance, causing further problems.",the ecosystem,,,
"The ecosystem is out of balance, causing further problems.",out of balance,,,
"The ecosystem is out of balance, causing further problems.",the ecosystem,,,
"The ecosystem is out of balance, causing further problems.",the ecosystem is out of balance,,,
"The ecosystem is out of balance, causing further problems.",further problems,,,
