p1,p2,p3,p4,p5
block mountains,fold mountains,tectonic plates,volcanic mountains,volcanoes
SENTENCE,PHRASE,REFERENCE,,
Movements of tectonic plates causes the creation of volcanoes.,movements of tectonic plates,p3,,
Movements of tectonic plates causes the creation of volcanoes.,the creation of volcanoes,p5,,
These volcanoes erupt.,these volcanoes,p5,,
Volcanic mountains are formed from the eruption.,volcanic mountains,p4,,
Volcanic mountains are formed from the eruption.,from the eruption,,,
Volcanic mountains are formed from the eruption.,the eruption,,,
Sometimes tectonic plates crash into one another or ride over one another.,sometimes,,,
Sometimes tectonic plates crash into one another or ride over one another.,tectonic plates,p3,,
Sometimes tectonic plates crash into one another or ride over one another.,into one another,p3,,
Sometimes tectonic plates crash into one another or ride over one another.,one another,p3,,
"These plates sometimes fold and buckle, which forms Fold Mountains.",these plates,p3,,
"These plates sometimes fold and buckle, which forms Fold Mountains.",fold mountains,p2,,
"Sometimes fault blocks are raised or tilted, and they form Block Mountains.",sometimes,,,
"Sometimes fault blocks are raised or tilted, and they form Block Mountains.",fault blocks,,,
"Sometimes fault blocks are raised or tilted, and they form Block Mountains.",fault blocks,,,
"Sometimes fault blocks are raised or tilted, and they form Block Mountains.",block mountains,p1,,
