"what is being take ? a ice cube tray ",ice cube tray,1
"what is being fill ? the tray ",tray,1
"where is something being fill from ? from the faucet ",faucet,1
"what is being put ? the ice cube tray ",ice cube tray,1
"where is something being put ? in the freezer ",freezer,1
"what is being remove ? the ice cube tray ",ice cube tray,1
"where is something being remove ? from the freezer ",freezer,1
"where is something being remove from ? the freezer ",freezer,1
"where is something being remove ? from the tray ",tray,1
"what is something remove from ? the tray ",tray,1
"what does someone take ? a tray ",tray,1
"where is something being add ? into the tray ",tray,1
"what is something add into ? the tray ",tray,1
"what does someone insert ? the tray ",tray,1
"where does someone insert something ? into a freezer ",freezer,1
"what does someone insert something into ? a freezer ",freezer,1
"where is something being pour ? into a cake pan ",cake pan,1
"what is something pour into ? a cake pan ",cake pan,1
"where is something being cook ? in the oven ",oven,1
"how is something being take ? out ",out,1
"what is being preheat ? the oven ",oven,1
"what is being grease ? you prefer cake pan ",cake pan,1
"where is something being add ? to the dry ingredient ",dry ingredient,1
"what is something add to ? the dry ingredient ",dry ingredient,1
"when is something being stir ? until all the dry flour have be absorb ",dry flour,1
"when is something being whisk ? until all the dry flour have be absorb ",dry flour,1
"what have been absorb ? the dry flour ",dry flour,1
"where is something being pour ? into the greased cake pan ",cake pan,1
"what is something pour into ? the greased cake pan ",cake pan,1
"where is something being pack ? in you suitcase such as underwear/socks ",suitcase,1
"where is something being pack ? in the suitcase ",suitcase,1
"what is being turn ? the bicycle ",bicycle,1
"what does something hold ? the wheel ",wheel,1
"where does something hold something ? to the bike ",bike,1
"what does something hold something to ? the bike ",bike,1
"where is something being take ? off of the wheel ",wheel,1
"what is being replace with ? a new tire on the wheel ",wheel,1
"where is something being replace ? on the wheel ",wheel,1
"what is being replace ? the wheel ",wheel,1
"where is something being replace ? on the bike ",bike,1
"what is something being replace on ? the bike ",bike,1
"what is being secure ? the wheel ",wheel,1
"where is something send ? to the heating system ",heating system,1
"what is something send to ? the heating system ",heating system,1
"where does something travel ? from the tank to the burner ",burner,1
"what does something travel from ? the tank ",tank,1
"where does something travel from something ? to the burner ",burner,1
"where is something inject ? into the burner ",burner,1
"what is something inject into ? the burner ",burner,1
"what is ignite ? the burner ",burner,1
"where is something ignite ? in the combustion chamber ",combustion chamber,1
"what is something ignite in ? the combustion chamber ",combustion chamber,1
"what heat something ? the furnace ",furnace,1
"what send something ? the blower ",blower,1
"where does something send something ? through the duct ",duct,1
"where does something come ? out the vent and into the room ",vent,1
"what does something come off ? the vent ",vent,1
"where is something gather ? through mining operation ",mining operation,1
"what is something gather into ? mining operation ",mining operation,1
"where is something transport ? to store ",store,1
"what is something transport to ? store ",store,1
"where is something place ? into a stove in the house ",stove,1
"what is something place into ? a stove ",stove,1
"what travel ? the warm air off of the oil ",warm air,1
"where does something travel ? through the house ",house,1
"what does something travel into ? the house ",house,1
"where have something fall ? below you thermostat setting ",thermostat,1
"what send something ? you thermostat ",thermostat,1
"where does something send something ? to you heating system ",heating system,1
"what does something send something to ? you heating system ",heating system,1
"what provide something ? heating system ",heating system,1
"what is engage ? you oil burner ",burner,1
"when does something travel ? when you oil burner be engage ",burner,1
"where does something travel ? from the tank to the burner ",burner,1
"what does something travel from ? the tank ",tank,1
"where is something inject ? into the burner ",burner,1
"what is something inject into ? the burner ",burner,1
"where is something ignite ? in the combustion chamber ",combustion chamber,1
"where is something disburse ? through vent , hot water through baseboard , or by steam radiator ","vent , hot water through baseboard , or by steam radiator",1
"what is something disburse into ? vent , hot water through baseboard , or by steam radiator ","vent , hot water through baseboard , or by steam radiator",1
"what is being open ? the dishwasher ",dishwasher,1
"where is something being slide ? out the bottom rack ",bottom rack,1
"what is being slide ? the bottom rack ",bottom rack,1
"where is something being place ? in the rack ",rack,1
"what is being turn on ? the dishwasher ",dishwasher,1
"where is something place ? into the dishwasher ",dishwasher,1
"what is something place into ? the dishwasher ",dishwasher,1
"where is something add ? to the detergent dispenser ",detergent dispenser,1
"what is something add to ? the detergent dispenser ",detergent dispenser,1
"what is close ? the dishwasher ",dishwasher,1
"when is something being rinse ? before place they in a dishwasher ",dishwasher,1
"where is something being place ? in a dishwasher ",dishwasher,1
"where is something being load ? on the top rack ",top rack,1
"where is something being put ? on the bottom rack ",bottom rack,1
"where is something bowl ? on the bottom rack ",bottom rack,1
"where is something being place ? in the utensil basket ",utensil basket,1
"where is something being put ? into the detergent holder ",detergent holder,1
"what is something put into ? the detergent holder ",detergent holder,1
"what come into something ? water ",water,1
"what does something come into ? contact with something make of iron ",something make of iron,1
"what is something make of ? iron ",iron,1
"what combine with something ? the water ",water,1
"where does something combine with something ? in the air ",air,1
"what form something ? the water ",water,1
"how is something form ? the water combine with carbon dioxide in the air ",water,1
"what start to do something ? the iron ",iron,1
"what dissolve ? the iron ",iron,1
"what break ? some of the water ",water,1
"what is dissolve ? iron bond ",iron,1
"what does something form ? iron oxide ",iron,1
"what be something ? iron oxide ",iron,1
"what is expose to something ? iron ",iron,1
"what start to do something ? the iron ",iron,1
"what oxidize ? the iron ",iron,1
"what start to do something ? the iron ",iron,1
"where does something pass ? through the glass into the greenhouse ",greenhouse,1
"what does something pass into ? the glass ",glass,1
"what absorb something ? the plant and floor ",plant and floor,1
"what can not something escape ? the glass ",glass,1
"where is something trap ? in the greenhouse ",greenhouse,1
"what is something trap in ? the greenhouse ",greenhouse,1
"what is push somewhere ? the colder air at the top ",top,1
"where is something push ? to the bottom ",bottom,1
"what is something push to ? the bottom ",bottom,1
"how is something warm ? by the floor and the plant ",floor and the plant,1
"what is something warm by ? the floor and the plant ",floor and the plant,1
"what be somewhere ? the root ",root,1
"where does something be ? within the soil ",soil,1
"where does something move ? from the soil ",soil,1
"what does something move from ? the root structure ",root structure,1
"where does something move from something ? into the root structure ",root structure,1
"what be something ? the root ",root,1
"where is something pass ? to within the plant ",within the plant,1
"where does something travel ? through the plant circulatory system ",plant circulatory system,1
"what does something travel through ? the plant circulatory system ",plant circulatory system,1
"where is something flow ? into the dishwasher ",dishwasher,1
"what does something flow into ? the dishwasher ",dishwasher,1
"what heat something ? the dishwasher ",dishwasher,1
"what open ? the detergent dispenser ",dispenser,1
"where is something shot ? through the jet ",jet,1
"what is something shot into ? the jet ",jet,1
"why is something shotted somewhere ? to clean the dish ",dish,1
"what is being clean ? the dish ",dish,1
"why is something spray ? to rinse the dish ",dish,1
"what is something spray to do ? rinse the dish ",dish,1
"what is being rinse ? the dish ",dish,1
"where is something heat ? in the dishwasher ",dishwasher,1
"why is something heated somewhere ? to dry the dish ",dish,1
"what is being dry ? the dish ",dish,1
"what is take ? cold water ",water,1
"where is something take ? in through a hose to the bottom ",hose to the bottom,1
"what heat something ? heating element ",heating element,1
"what does something heat ? water ",water,1
"what is connect to something ? pipe ",pipe,1
"what is something connect to ? spin paddle ",spin paddle,1
"what is spin ? paddle ",paddle,1
"what make something ? the forced water ",water,1
"what does something make ? paddle spin like a sprinkler ",paddle,1
"what spin ? paddle ",paddle,1
"what come into something ? water ",water,1
"where does something come ? out of small hole ",small hole,1
"what does something come into ? small hole ",small hole,1
"where does something come into something ? in paddle ",paddle,1
"what is collect ? water ",water,1
"when is something collect ? until dish be clean ",dish,1
"what is use ? water ",water,1
"when is something use ? until dish be clean ",dish,1
"what be something ? dish ",dish,1
"what is drain ? water ",water,1
"where is something drain ? through a filter ",filter,1
"what is something drain into ? a filter ",filter,1
"what collect something ? filter ",filter,1
"what be something ? water ",water,1
"what evaporate for something ? water ",water,1
"why does something evaporate ? for dry dish ",dish,1
"what does something evaporate for ? dry dish ",dish,1
"what is place ? dirty dish ",dish,1
"where is something place ? in the dishwasher ",dishwasher,1
"what is something place in ? the dishwasher ",dishwasher,1
"what can be remove ? the dish ",dish,1
"what is close ? the dishwasher ",dishwasher,1
"what heat something ? the dishwasher ",dishwasher,1
"what does something heat ? water ",water,1
"what direct something ? the dishwasher ",dishwasher,1
"what does something direct ? water ",water,1
"where does something direct something ? toward the dish ",toward the dish,1
"how does something direct something ? through jet ",jet,1
"what add something ? the dishwasher ",dishwasher,1
"what drain up ? the dirty water ",dirty water,1
"how does something drain ? out ",out,1
"what rinse something ? the dishwasher ",dishwasher,1
"what is being rinse ? the dish ",dish,1
"what drain up ? the water ",water,1
"how does something drain ? out ",out,1
"what direct something ? the dishwasher ",dishwasher,1
"where does something direct something ? toward the dish ",toward the dish,1
"where does something dry something ? the dish ",dish,1
"who decide something ? you ",you,1
"who draw up something ? you ",you,1
"what does someone draw up ? a plan ",plan,1
"why does someone draw up something ? to what kind of orbit the satellite will travel ",orbit,1
"who make something ? you ",you,1
"what does someone make ? preparation for the rocket that will travel into space ",rocket,1
"what will travel into something ? the rocket ",rocket,1
"where did something be travel ? into space ",space,1
"what would something travel into ? space ",space,1
"who begin something ? you ",you,1
"what does someone begin ? the countdown date for the rocket ",rocket,1
"who send something ? you ",you,1
"what does someone send ? the rocket ",rocket,1
"where does someone send something ? into space ",space,1
"what is carry something ? the rocket ",rocket,1
"where is something being carry ? into space ",space,1
"what is something carry into ? space ",space,1
"when is something be place ? once in orbit ",orbit,1
"where is something be place ? in orbit ",orbit,1
"where is not something be place ? where it be plan ",plan,1
"when was something plan ? once in orbit ",orbit,1
"what is being build ? a satellite ",satellite,1
