p1,p2,p3,p4
bee,pollen,pistil,seeds and fruit
SENTENCE,PHRASE,REFERENCE,
A bee visits a flower.,a bee,p1,
A bee visits a flower.,a flower,,
The pollen from that flower sticks to the bee.,the pollen from that flower,p2,
The pollen from that flower sticks to the bee.,to the bee,p1,
The pollen from that flower sticks to the bee.,the bee,p1,
The bee flies to another flower of the same type.,the bee,p1,
The bee flies to another flower of the same type.,to another flower of the same type,,
The bee flies to another flower of the same type.,another flower of the same type,,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,the pollen,p2,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,to the bee,p1,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,the bee,p1,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,the pollen that was stuck to the bee,"p1,p2",
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,brushed onto the pistil of the flower,p3,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,onto the pistil of the flower,p3,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,the pollen that was stuck to the bee,"p1,p2",
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,onto the pistil of the flower,p3,
The pollen that was stuck to the bee gets brushed onto the pistil of the flower.,the pistil of the flower,p3,
The flower is pollinated.,the flower,,
Will begin to develop seeds and fruit.,to develop seeds and fruit,p4,
Will begin to develop seeds and fruit.,develop seeds and fruit,p4,
Will begin to develop seeds and fruit.,seeds and fruit,p4,
The pollen from that flower sticks to the bee.,that flower,,
