p1,p2,p3,p4,p5
Radioisotopes,new element,one element,another element,new element
SENTENCE,PHRASE,REFERENCE,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,a radioisotope,p1,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,unstable nuclei,,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,unstable nuclei,,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,enough binding energy to hold the nucleus together,,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,binding energy,,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,the nucleus,,,
A radioisotope has unstable nuclei that does not have enough binding energy to hold the nucleus together.,together,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,radioisotopes,p1,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,to be stable isotopes,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,so they are constantly changing to try and stabilize,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,radioisotopes,p1,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,stable isotopes,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,so they are constantly changing to try and stabilize,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,radioisotopes,p1,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,constantly,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,to try and stabilize,,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,radioisotopes,p1,,
Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.,radioisotopes,p1,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",they,p1,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",energy and matter,,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",from their nucleus,,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",their nucleus,,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",they,p1,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",into a new element,p2,,
"In the process, they will release energy and matter from their nucleus and often transform into a new element.",a new element,p2,,
"This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.",this process,,,
"This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.",transmutation,,,
"This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.","this process , called transmutation",,,
"This process, called transmutation, is the change of one element into another as a result of changes within the nucleus.",the change of one element into another as a result of changes within the nucleus,p3,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,he radioactive decay and transmutation process,,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,until a new element is formed that has a stable nucleus and is not radioactive,p5,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,a new element,p5,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,a new element is formed,p5,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,a stable nucleus,,,
He radioactive decay and transmutation process will continue until a new element is formed that has a stable nucleus and is not radioactive.,not radioactive,,,
