p1,p2,p3,p4
water,warmth,mold spores,mold colonies
SENTENCE,PHRASE,REFERENCE,
Bread is exposed to the elements.,bread,,
Bread is exposed to the elements.,the elements,,
Bread absorbs water from the air.,bread,,
Bread absorbs water from the air.,water,p1,
Bread absorbs water from the air.,from the air,,
Bread absorbs warmth from the air.,bread,,
Bread absorbs warmth from the air.,warmth,p2,
Bread absorbs warmth from the air.,from the air,,
Dust particles with mold spores fall on bread.,dust particles with mold spores,p3,
Dust particles with mold spores fall on bread.,on bread,,
Dust particles with mold spores fall on bread.,bread,,
Mold spores start to consume the bread for energy.,mold spores,p3,
Mold spores start to consume the bread for energy.,to consume the bread for energy,,
Mold spores start to consume the bread for energy.,mold spores,p3,
Mold spores start to consume the bread for energy.,the bread,,
Mold spores start to consume the bread for energy.,for energy,,
Mold spores start to consume the bread for energy.,energy,,
Mold colonies grow until they are visible.,mold colonies,p4,
Mold colonies grow until they are visible.,until they are visible,,
Mold colonies grow until they are visible.,mold colonies,p4,
Mold colonies grow until they are visible.,visible,,
