p1,p2,p3,p4,p5,p6,p7
atp,carbon dioxide,water,cellulose,oxygen,sugars,"sunlight, sun's energy"
SENTENCE,PHRASE,REFERENCE,,,,
Carbon dioxide enters the leaf through the stomates.,carbon dioxide,p2,,,,
Carbon dioxide enters the leaf through the stomates.,the leaf,,,,,
Carbon dioxide enters the leaf through the stomates.,through the stomates,,,,,
Water is absorbed by the plant and transported to the leaves.,water,p3,,,,
Water is absorbed by the plant and transported to the leaves.,by the plant,,,,,
Water is absorbed by the plant and transported to the leaves.,the plant,,,,,
Water is absorbed by the plant and transported to the leaves.,water,p3,,,,
Water is absorbed by the plant and transported to the leaves.,to the leaves,,,,,
Water is absorbed by the plant and transported to the leaves.,the leaves,,,,,
Sunlight is captured by the plant.,sunlight,p7,,,,
Sunlight is captured by the plant.,by the plant,,,,,
Sunlight is captured by the plant.,the plant,,,,,
Energy in the form of ATP is made from the sun's energy.,energy in the form of atp,p1,,,,
Energy in the form of ATP is made from the sun's energy.,the sun 's energy,p7,,,,
"Carbon dioxide, water, and ATP form sugars via the Calvin cycle.","carbon dioxide , water , and atp","p1,p2,p3",,,,
"Carbon dioxide, water, and ATP form sugars via the Calvin cycle.",via the calvin cycle,,,,,
Oxygen is given off as a byproduct.,oxygen,p5,,,,
Oxygen is given off as a byproduct.,as a byproduct,,,,,
Oxygen is given off as a byproduct.,a byproduct,,,,,
Oxygen leaves the leaf through the stomates.,oxygen,p5,,,,
Oxygen leaves the leaf through the stomates.,the leaf,,,,,
Oxygen leaves the leaf through the stomates.,through the stomates,,,,,
Water is reused or it leaves the leaf.,water,p3,,,,
Water is reused or it leaves the leaf.,water,p3,,,,
Water is reused or it leaves the leaf.,the leaf,,,,,
The sugars can be used by the plant to make cellulose.,the sugars,p6,,,,
The sugars can be used by the plant to make cellulose.,the plant,,,,,
The sugars can be used by the plant to make cellulose.,to make cellulose,p4,,,,
The sugars can be used by the plant to make cellulose.,the sugars,p6,,,,
The sugars can be used by the plant to make cellulose.,cellulose,p4,,,,
