p1,p2,p3,p4,p5,p6,p7
light energy,carbon dioxide,water,minerals,sugars,oxygen and water,excess water and oxygen
SENTENCE,PHRASE,REFERENCE,,,,
Sunlight shines on plants.,sunlight,,,,,
Sunlight shines on plants.,on plants,,,,,
Sunlight shines on plants.,plants,,,,,
Cells with chlorophyll in them capture the light energy.,cells with chlorophyll in them,,,,,
Cells with chlorophyll in them capture the light energy.,the light energy,p1,,,,
Plants absorb carbon dioxide through their stoma.,plants,,,,,
Plants absorb carbon dioxide through their stoma.,carbon dioxide,p2,,,,
Plants absorb carbon dioxide through their stoma.,through their stoma,,,,,
Plants absorb water through their roots and other parts of themselves.,plants,,,,,
Plants absorb water through their roots and other parts of themselves.,water,p3,,,,
Plants absorb water through their roots and other parts of themselves.,through their roots and other parts of themselves,,,,,
Plants absorb minerals through their roots.,plants,,,,,
Plants absorb minerals through their roots.,minerals,p4,,,,
Plants absorb minerals through their roots.,through their roots,,,,,
Plants convert these inputs into sugars.,plants,,,,,
Plants convert these inputs into sugars.,these inputs,"p1,p2,p3,p4",,,,
Plants convert these inputs into sugars.,into sugars,p5,,,,
Sugars can be used as energy sources.,sugars,p5,,,,
Sugars can be used as energy sources.,as energy sources,,,,,
Sugars can be used as energy sources.,energy sources,,,,,
Oxygen and water are also produced.,oxygen and water,p6,,,,
Excess water and oxygen are released through stoma and other parts of the plant.,excess water and oxygen,p7,,,,
Excess water and oxygen are released through stoma and other parts of the plant.,through stoma and other parts of the plant,,,,,
Excess water and oxygen are released through stoma and other parts of the plant.,stoma and other parts of the plant,,,,,
