p1,p2,p3,p4
star,red giant,nebula,dwarf star
SENTENCE,PHRASE,REFERENCE,
A star forms.,a star,p1,
The star does not have enough mass to become a neutron star.,the star,p1,
The star does not have enough mass to become a neutron star.,enough mass to become a neutron star,,
The star does not have enough mass to become a neutron star.,the star,p1,
The star does not have enough mass to become a neutron star.,a neutron star,,
The star goes through a change in its core and bonds helium to carbon and oxygen.,the star,p1,
The star goes through a change in its core and bonds helium to carbon and oxygen.,through a change in its core,,
The star goes through a change in its core and bonds helium to carbon and oxygen.,a change in its core,,
The star becomes a red giant.,the star,p1,
The star becomes a red giant.,a red giant,p2,
A mass of carbon and oxygen builds up in the center of the star.,a mass of carbon and oxygen,,
A mass of carbon and oxygen builds up in the center of the star.,in the center of the star,p1,
The star sheds its outside layers and becomes a nebula.,the star,p1,
The star sheds its outside layers and becomes a nebula.,its outside layers,p1,
The star sheds its outside layers and becomes a nebula.,the star,p1,
The star sheds its outside layers and becomes a nebula.,a nebula,p3,
The star leaves behind the core which becomes a dwarf star.,the star,p1,
The star leaves behind the core which becomes a dwarf star.,behind the core,,
The star leaves behind the core which becomes a dwarf star.,the core,,
The star leaves behind the core which becomes a dwarf star.,the core,,
The star leaves behind the core which becomes a dwarf star.,a dwarf star,p4,
