p1,p2,p3,p4
spores,mature mushroom,mycelium,mushroom
SENTENCE,PHRASE,REFERENCE,
Spores are dispersed into the air by a mature mushroom.,spores,p1,
Spores are dispersed into the air by a mature mushroom.,into the air,,
Spores are dispersed into the air by a mature mushroom.,the air,,
Spores are dispersed into the air by a mature mushroom.,by a mature mushroom,p2,
Spores are dispersed into the air by a mature mushroom.,a mature mushroom,p2,
The spores fall to the ground.,the spores,p1,
The spores fall to the ground.,to the ground,,
The spores fall to the ground.,the ground,,
The spores germinate.,the spores,p1,
The spores begin to grow mycelium.,the spores,p1,
The spores begin to grow mycelium.,to grow mycelium,p3,
The spores begin to grow mycelium.,the spores,p1,
The spores begin to grow mycelium.,mycelium,p3,
The mycelium begin to sprout a bud.,the mycelium,p3,
The mycelium begin to sprout a bud.,to sprout a bud,,
The mycelium begin to sprout a bud.,the mycelium,p3,
The mycelium begin to sprout a bud.,a bud,,
A new mushroom is formed.,a new mushroom,p4,
