p1,p2,p3,p4
water,water vapor,"droplets, precipitation, rain",snow
SENTENCE,PHRASE,REFERENCE,
"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.","water from oceans , lakes , swamps , rivers , and plants",p1,
"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.",water vapor,p2,
Water vapor condenses into millions of tiny droplets that form clouds.,water vapor,p2,
Water vapor condenses into millions of tiny droplets that form clouds.,millions of tiny droplets that form clouds,p3,
Water vapor condenses into millions of tiny droplets that form clouds.,tiny droplets,p3,
Water vapor condenses into millions of tiny droplets that form clouds.,clouds,,
"Clouds lose these droplets through rain or snow, also caused precipitation.",clouds,,
"Clouds lose these droplets through rain or snow, also caused precipitation.",these droplets,p3,
"Clouds lose these droplets through rain or snow, also caused precipitation.",through rain or snow,"p3,p4",
"Clouds lose these droplets through rain or snow, also caused precipitation.",clouds lose these droplets through rain or snow,"p3,p4",
"Clouds lose these droplets through rain or snow, also caused precipitation.",precipitation,p3,
Precipitation is either absorbed into the ground or runs off into rivers.,precipitation,p3,
Precipitation is either absorbed into the ground or runs off into rivers.,into the ground,,
Precipitation is either absorbed into the ground or runs off into rivers.,the ground,,
Precipitation is either absorbed into the ground or runs off into rivers.,precipitation,p3,
Precipitation is either absorbed into the ground or runs off into rivers.,off into rivers,,
Water that was absorbed into the ground is taken up by plants.,water,p1,
Water that was absorbed into the ground is taken up by plants.,into the ground,,
Water that was absorbed into the ground is taken up by plants.,the ground,,
Water that was absorbed into the ground is taken up by plants.,water,p1,
Water that was absorbed into the ground is taken up by plants.,water that was absorbed into the ground,p1,
Water that was absorbed into the ground is taken up by plants.,by plants,,
Water that was absorbed into the ground is taken up by plants.,plants,,
Plants lose water from their surfaces as vapor.,plants,,
Plants lose water from their surfaces as vapor.,water,p1,
Plants lose water from their surfaces as vapor.,from their surfaces,,
Plants lose water from their surfaces as vapor.,as vapor,p2,
The vapor goes back into the atmosphere.,the vapor,p2,
The vapor goes back into the atmosphere.,back into the atmosphere,,
"Water that runs off into rivers flows into ponds, lakes, or oceans.",water,p1,
"Water that runs off into rivers flows into ponds, lakes, or oceans.",off into rivers,,
"Water that runs off into rivers flows into ponds, lakes, or oceans.",water that runs off into rivers,p1,
"Water that runs off into rivers flows into ponds, lakes, or oceans.","into ponds , lakes , or oceans",,
"Water that runs off into rivers flows into ponds, lakes, or oceans.","ponds , lakes , or oceans",,
The water evaporates back into the atmosphere.,the water,p1,
The water evaporates back into the atmosphere.,back into the atmosphere,,
"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.","oceans , lakes , swamps , rivers , and plants",,
