p1,p2,p3,p4
water,"clouds, bigger clouds",rain,snow
SENTENCE,PHRASE,REFERENCE,
"Water is on the earth in oceans, other bodies of water, and living creatures.",water,p1,
"Water is on the earth in oceans, other bodies of water, and living creatures.","in oceans , other bodies of water , and living creatures",,
"Water is on the earth in oceans, other bodies of water, and living creatures.",the earth,,
"Water is on the earth in oceans, other bodies of water, and living creatures.",creatures,,
Water evaporates from the earth.,water,p1,
Water evaporates from the earth.,from the earth,,
Water evaporates from the earth.,the earth,,
Water accumulates in the sky.,water,p1,
Water accumulates in the sky.,in the sky,,
The water forms clouds in the sky.,the water,p1,
The water forms clouds in the sky.,clouds,p2,
The water forms clouds in the sky.,in the sky,,
Large amounts of water end up in bigger clouds as more water evaporates.,large amounts of water,p1,
Large amounts of water end up in bigger clouds as more water evaporates.,in bigger clouds,p2,
Large amounts of water end up in bigger clouds as more water evaporates.,bigger clouds,p2,
Large amounts of water end up in bigger clouds as more water evaporates.,as more water evaporates,p1,
Large amounts of water end up in bigger clouds as more water evaporates.,more water,p1,
The clouds become heavy from all the water.,the clouds,p2,
The clouds become heavy from all the water.,heavy,,
The clouds become heavy from all the water.,from all the water,p1,
The clouds become heavy from all the water.,all the water,p1,
The water falls back to earth as rain or snow from the clouds.,the water,p1,
The water falls back to earth as rain or snow from the clouds.,back to earth,,
The water falls back to earth as rain or snow from the clouds.,as rain or snow,"p3,p4",
The water falls back to earth as rain or snow from the clouds.,the clouds,p2,
