p1,p2,p3,p4
coal,water,steam,electricity
SENTENCE,PHRASE,REFERENCE,
Coal is harvested from a coal mine.,coal,p1,
Coal is harvested from a coal mine.,from a coal mine,,
Coal is harvested from a coal mine.,a coal mine,,
The coal is transported either by train or truck to power station.,the coal,p1,
The coal is transported either by train or truck to power station.,either by train or truck,,
The coal is transported either by train or truck to power station.,to power station,,
The coal is burned in a furnace.,the coal,p1,
The coal is burned in a furnace.,in a furnace,,
The coal is burned in a furnace.,a furnace,,
Water is turned into steam in the boiler.,water,p2,
Water is turned into steam in the boiler.,steam,p3,
Water is turned into steam in the boiler.,in the boiler,,
The steam is cooled in cooling towers.,the steam,p3,
The steam is cooled in cooling towers.,in cooling towers,,
The steam is cooled in cooling towers.,cooling towers,,
The steam is cooled in cooling towers.,towers,,
The steam turns the turbines.,the steam,p3,
The steam turns the turbines.,the turbines,,
The generator makes electricity.,the generator,,
The generator makes electricity.,electricity,p4,
The electricity is sent through transformers.,the electricity,p4,
The electricity is sent through transformers.,through transformers,,
The electricity is sent through transformers.,transformers,,
