p1,p2,p3,p4
glucose and oxygen,carbon dioxide,energy,oxygen
SENTENCE,PHRASE,REFERENCE,
Cells obtain glucose and oxygen.,cells,,
Cells obtain glucose and oxygen.,glucose and oxygen,p1,
The glucose and oxygen create carbon dioxide.,the glucose and oxygen,p1,
The glucose and oxygen create carbon dioxide.,carbon dioxide,p2,
The cells release energy.,the cells,,
The cells release energy.,energy,p3,
The cells don't have enough oxygen to repeat this.,the cells,,
The cells don't have enough oxygen to repeat this.,enough oxygen to repeat this,p4,
The cells don't have enough oxygen to repeat this.,the cells,,
The cells don't have enough oxygen to repeat this.,this,,
The cells obtain more oxygen from the air.,the cells,,
The cells obtain more oxygen from the air.,more oxygen,p4,
The cells obtain more oxygen from the air.,from the air,,
The cells obtain more oxygen from the air.,the air,,
The cells repeat this process.,the cells,,
The cells repeat this process.,this process,,
