p1,p2,p3,p4,p5
rocky area,"water, precipitation",stream,river,"eroded area, valley"
SENTENCE,PHRASE,REFERENCE,,
A large rocky area is formed.,a large rocky area,p1,,
The rocky area has a higher elevation than the surrounding areas.,the rocky area,p1,,
The rocky area has a higher elevation than the surrounding areas.,a higher elevation than the surrounding areas,,,
The rocky area has a higher elevation than the surrounding areas.,areas,,,
Water from precipitation falls in the area.,water from precipitation,p2,,
Water from precipitation falls in the area.,in the area,,,
The water forms a stream.,the water,p2,,
The water forms a stream.,a stream,p3,,
The stream flows towards lower elevation.,the stream,p3,,
The stream flows towards lower elevation.,towards lower elevation,,,
The stream becomes a river.,the stream,p3,,
The stream becomes a river.,a river,p4,,
The river continues to flow along the same path for a long time.,the river,p4,,
The river continues to flow along the same path for a long time.,to flow,,,
The river continues to flow along the same path for a long time.,for a long time,,,
The river continues to flow along the same path for a long time.,the river,p4,,
The river continues to flow along the same path for a long time.,along the same path,,,
The river continues to flow along the same path for a long time.,for a long time,,,
The river erodes the rocky area that it touches.,the river,p4,,
The river erodes the rocky area that it touches.,the rocky area that it touches,p1,,
The eroded area cuts deeply into the rock.,area,p5,,
Water from precipitation falls in the area.,precipitation,p2,,
The eroded area cuts deeply into the rock.,the eroded area,p5,,
The eroded area cuts deeply into the rock.,into the rock,,,
The eroded area cuts deeply into the rock.,rock,,,
