p1,p2,p3,p4
items,trash,bales,products
SENTENCE,PHRASE,REFERENCE,
Items are collected.,items,p1,
The items are sorted.,the items,p1,
Trash is removed from everything else.,trash,p2,
Trash is removed from everything else.,everything else,,
Goes to a landfill.,to a landfill,,
Goes to a landfill.,a landfill,,
The items go into a baler machine for each kind of material.,the items,p1,
The items go into a baler machine for each kind of material.,into a baler machine,,
The items go into a baler machine for each kind of material.,a baler machine,,
The items go into a baler machine for each kind of material.,for each kind of material,,
They come out as bales.,they,p1,
They come out as bales.,as bales,p3,
They come out as bales.,bales,p3,
The bales are shipped to manufacturers to use to make products.,the bales,p3,
The bales are shipped to manufacturers to use to make products.,to manufacturers,,
The bales are shipped to manufacturers to use to make products.,manufacturers,,
The bales are shipped to manufacturers to use to make products.,to use to make products,p4,
The bales are shipped to manufacturers to use to make products.,the bales,p3,
The bales are shipped to manufacturers to use to make products.,manufacturers,,
The bales are shipped to manufacturers to use to make products.,to make products,p4,
The bales are shipped to manufacturers to use to make products.,make products,p4,
The bales are shipped to manufacturers to use to make products.,the bales,p3,
The bales are shipped to manufacturers to use to make products.,products,p4,
