p1,p2,p3,p4
coal,water,steam,energy
SENTENCE,PHRASE,REFERENCE,
Coal is heated in the boiler.,coal,p1,
Coal is heated in the boiler.,in the boiler,,
Coal is heated in the boiler.,the boiler,,
The water tank over the boiler is heated.,the water tank,p2,
The water tank over the boiler is heated.,over the boiler,,
Creates steam.,steam,p3,
The steam is funneled to the piston.,the steam,p3,
The steam is funneled to the piston.,steam,p3,
The steam is funneled to the piston.,to the piston,,
The steam is funneled to the piston.,the piston,,
Piston uses the steam as energy.,piston,,
Piston uses the steam as energy.,the steam,p3,
Piston uses the steam as energy.,as energy,p4,
Piston uses the steam as energy.,energy,p4,
The piston causes the crankshaft to move.,the piston,,
The piston causes the crankshaft to move.,the crankshaft to move,,
The piston causes the crankshaft to move.,the crankshaft,,
