p1,p2,p3,p4,p5,p6
water,hydrogen,oxygen,carbon dioxide,intermediate,glucose
SENTENCE,PHRASE,REFERENCE,,,
Plants absorb water from the ground through their root systems.,plants,,,,
Plants absorb water from the ground through their root systems.,water,p1,,,
Plants absorb water from the ground through their root systems.,from the ground,,,,
Plants absorb water from the ground through their root systems.,through their root systems,,,,
"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",sunlight,,,,
"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",the plant,,,,
"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",through the process of photosynthesis,,,,
"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",the plant,,,,
"Using sunlight, the plant separates the hydrogen and oxygen molecules through the process of photosynthesis.",the hydrogen and oxygen molecules,"p2,p3",,,
The plant releases the oxygen into the atmosphere.,the plant,,,,
The plant releases the oxygen into the atmosphere.,the oxygen,p3,,,
The plant releases the oxygen into the atmosphere.,into the atmosphere,,,,
The plant releases the oxygen into the atmosphere.,the atmosphere,,,,
Combines the hydrogen with carbon dioxide to create an intermediate.,the hydrogen with carbon dioxide,"p2,p4",,,
Combines the hydrogen with carbon dioxide to create an intermediate.,to create an intermediate,p5,,,
Combines the hydrogen with carbon dioxide to create an intermediate.,combines the hydrogen with carbon dioxide,"p2,p4",,,
Combines the hydrogen with carbon dioxide to create an intermediate.,an intermediate,p5,,,
The intermediate is used to produce glucose which is the plant's food.,the intermediate,p5,,,
The intermediate is used to produce glucose which is the plant's food.,to produce glucose,p6,,,
The intermediate is used to produce glucose which is the plant's food.,produce glucose,p6,,,
The intermediate is used to produce glucose which is the plant's food.,the intermediate,p5,,,
The intermediate is used to produce glucose which is the plant's food.,glucose,p6,,,
The intermediate is used to produce glucose which is the plant's food.,glucose,p6,,,
The intermediate is used to produce glucose which is the plant's food.,the plant 's food,,,,
