p1,p2,p3,p4
aluminium cans aluminium,molten aluminium,ingots,thin sheets
SENTENCE,PHRASE,REFERENCE,
Aluminium cans are put into a recycling bin.,aluminium cans,p1,
Aluminium cans are put into a recycling bin.,into a recycling bin,,
Aluminium cans are put into a recycling bin.,a recycling bin,,
Aluminium cans are put into a recycling bin.,aluminium cans,p1,
Aluminium cans are put into a recycling bin.,bin,,
Aluminium cans are then collected and taken to a treatment plant.,aluminium cans,p1,
Aluminium cans are then collected and taken to a treatment plant.,aluminium cans,p1,
Aluminium cans are then collected and taken to a treatment plant.,to a treatment plant,,
Aluminium cans are then collected and taken to a treatment plant.,a treatment plant,,
At the treatment plant the aluminium is sorted and cleaned.,at the treatment plant,,
At the treatment plant the aluminium is sorted and cleaned.,the aluminium,p1,
At the treatment plant the aluminium is sorted and cleaned.,at the treatment plant,,
At the treatment plant the aluminium is sorted and cleaned.,the aluminium,p1,
Readied for reprocessing.,for reprocessing,,
Readied for reprocessing.,reprocessing,,
The aluminum cans go through a re-melt process.,the aluminum cans,p1,
The aluminum cans go through a re-melt process.,through a re-melt process,,
The aluminum cans go through a re-melt process.,a re-melt process,,
Turned into molten aluminium.,molten aluminium,p2,
The molten aluminum is made into large blocks called ingots.,the molten aluminum,p2,
The molten aluminum is made into large blocks called ingots.,into large blocks called ingots,p3,
The molten aluminum is made into large blocks called ingots.,large blocks called ingots,p3,
The molten aluminum is made into large blocks called ingots.,large blocks,,
The molten aluminum is made into large blocks called ingots.,ingots,p3,
The ingots are sent to mills and are rolled out into thin sheets.,the ingots,p3,
The ingots are sent to mills and are rolled out into thin sheets.,to mills,,
The ingots are sent to mills and are rolled out into thin sheets.,mills,,
The ingots are sent to mills and are rolled out into thin sheets.,the ingots,p3,
The ingots are sent to mills and are rolled out into thin sheets.,out into thin sheets,p4,
The ingots are sent to mills and are rolled out into thin sheets.,thin sheets,p4,
The rolls are ready to be made into new aluminum products.,the rolls,p4,
The rolls are ready to be made into new aluminum products.,ready to be made into new aluminum products,,
The rolls are ready to be made into new aluminum products.,the rolls,p4,
The rolls are ready to be made into new aluminum products.,new aluminum products,,
