p1,p2,p3,p4,p5,p6
coal,heat,water,steam,generator,electricity
SENTENCE,PHRASE,REFERENCE,,,
The coal is placed in a heater.,the coal,p1,,,
The coal is placed in a heater.,in a heater,,,,
The coal is placed in a heater.,a heater,,,,
The coal is super heated.,the coal,p1,,,
The coal is super heated.,super heated,,,,
The heat is connected to a boiler.,the heat,p2,,,
The heat is connected to a boiler.,to a boiler,,,,
The boiler is full of water.,the boiler,,,,
The boiler is full of water.,full of water,p3,,,
The heat turns the water into steam.,the heat,p2,,,
The heat turns the water into steam.,the water,p3,,,
The heat turns the water into steam.,into steam,p4,,,
The steam turns a generator.,the steam,p4,,,
The steam turns a generator.,a generator,p5,,,
The generator produces the electricity.,the generator,p5,,,
The generator produces the electricity.,the electricity,p6,,,
