p1,p2,p3,p4
magma chamber,volcano,magma,lava
SENTENCE,PHRASE,REFERENCE,
A magma chamber forms under the ground.,a magma chamber,p1,
A magma chamber forms under the ground.,under the ground,,
As the magma gets pressure it travels upwards.,the magma,p3,
As the magma gets pressure it travels upwards.,pressure,,
As the magma gets pressure it travels upwards.,the magma,p3,
As the magma gets pressure it travels upwards.,magma,p3,
As the magma gets pressure it travels upwards.,upwards,,
The magma finds the weakest point in the volcano.,the magma,p3,
The magma finds the weakest point in the volcano.,the weakest point in the volcano,p2,
The magma under pressure erupts through that point.,the magma under pressure,p3,
The magma under pressure erupts through that point.,through that point,,
The magma under pressure erupts through that point.,that point,,
The magma turns to lava in the air and travels down the volcano.,the magma,p3,
The magma turns to lava in the air and travels down the volcano.,to lava,p4,
The magma turns to lava in the air and travels down the volcano.,in the air,,
The magma turns to lava in the air and travels down the volcano.,the magma,p3,
The magma turns to lava in the air and travels down the volcano.,down the volcano,p2,
The magma turns to lava in the air and travels down the volcano.,the volcano,p2,
